,text,sentiment
32001,"Останавливались на этом отеле на день из-за отмены рейса. Очень хорошее обслуживание, вкусный завтрак и не менее вкусный обед. Качество сна - отличное, плотные темные шторы, большая удобная кровать. Я накануне не спала почти сутки, поэтому с удовольствием выспалась и поработала. От аэропорта курсирует бесплатный шаттл, так что если вам нужен отель в районе шереметьево, советую остановиться в Шератон. Кстати, за эти же деньги, я однажду останавливалась в отеле на порядок хуже, тоже в Москве, так что цена за номер приятно удивила. Совершенно разумная при такой высоком качестве обслуживания.",1
5860,"Остались довольны этим отелем.Хорошее расположение отеля. Пешком близко и до моря и до готического квартала. Отель маленький и уютный. Там около 30 номеров. Бесплатный вай фай, что для Барсы огромный плюс. Кушали в кафешках по соседству",0
14594,"Примите благодарность
Отличная клиника, высококвалифицированные специалисты, современное оснащение, все очень достойно! Отдельная благодарность прекрасному доктору, Юрию Александровичу Сидорову, коллективу 2-го радиологического отделения и, лично, заведующему Владимиру Васильевичу Осипову - замечательному хирургу и необыкновенно обаятельному человеку.
",1
44318,"Отдыхали в этом отеле 3 раза и всегда с удовольствием! Если вы любите тишину и покой, то вам сюда. Уединённый заповедный и широкий пляж Май као, гордость Тайланда. Завтраки шикарные! Обязательно попробуйте яйца Бенедикт с мясом краба...очень вкусно! На территории есть основной ресторан, где проходят завтраки, ресторан тайской кухни на пляже, там же есть симпатичный бар. Персонал очень внимательный. В отеле есть велосипеды, на которых можно прокатиться вокруг озера, находящееся на против. Недалеко есть небольшой торговый центр Черепашья деревня, в котором есть несколько кафе, магазины сувениров и продуктовый. Бассейн небольшой, есть детский клуб, спа, тренажерный зал с сауной. Территория небольшая, кругом кокосовые пальмы,по утрам поют птички. Номер очень уютный. Спасибо всем, кто сделал наш отдых приятным!",1
4449,"           ЛуАЗ 969М - 1986 четкая тачка ,хорошая проходимость и т.п! Во-первых кушает многово-вторых ребят не стоит забывать что мы в информационном веке живем,век прогресса! Да хорошая проходимость ,не гниющий кузов. Но не приемлемый салон! По моему мнению было бы хорошо если производители современных русских моделей равнялись на старые модели и производи машины с прекрасной проходимостью,не гниющим кузовом и прексраным теплым салоном! То получается унас cqxfc машины полнейший паркет((((((((((((((((((((не то что раньше! Но раньше была надежная но не отесанные,грубые машины!Мое мнению совместить проходимость и надежность и красоту в одно и было бы свосем четко как для производителей,так и для поккупателей.!!!!!!!!!!         ",0
30355,"В лучшем случае потеря денег, в худшем здоровья
Шахаратова И. А., замороченная на гомеопатии и непонятных массажах. Ну, что тут сказать, польза гомеопатии не очевидна во многих ситуациях, а зачастую, положившись на гомеопатию и прочие альтернативные методы рискуете потерять драгоценное время. Упустить время для традиционного лечения. Разводит на какие-то смешные и никому, кроме нее не понятные анализы (по 4 тыс рублей анализ. Никаких мнений и возражений не принимает, сразу раздражение. Также явно раздражается, поняв, что больше денег ""содрать"" не получится. В общем, если делать нечего и хочется пообщаться, то идите к ней. Если необходимо получить квалифицированную медицинскую помощь, ни в коем случае!
",2
1748,"..Некогда нам. Это вот беда.   Государство медленно и верно тянет население к полностью частной платной медицине, прикрываясь  декларациями о всеобщей бесплатности-доступности. Дорогостоящее лечение обреченных....Все эти схемы введены ТФ ОМС только для того, чтобы  ограничить потоки на расход  ИХ денег.   в частной поликлинике? о, да!!! Там мне в 100 раз насчет плана лечения-назначений свободнее. С четвертушкой в гос - пора завязывать.  Начальство славное , но...Пациенты хамеют на глазах (или мне так кажется?)Все больше стрессов (а оно мне нужно?), все меньше отдачи.  Все комплаентные валят в частную",0
6923,"Ясно, через неделю должен прийти ответ на претензию, которую ранее направлял, о качестве предоставления услуг, ну а дальше так и поступлю
",0
7761,"Очень любим этот ресторан .  Всегда приятное , ненавязчивое обслуживание .  Первый раз зашли спонтанно , просто прогуливались по Фонтанке - увидели в огромных окнах теплый свет и великолепный , но при этом очень уютный интерьер и не смогли пройти мимо .  Нас встретил администратор , проводили нас в зал. Сразу же налили шампанского .  Сев за столик у окошка , мы поняли , что уже не уйдем отсюда ) .  Обслуживание очень внимательное .  Очень понравился тунец с оливками , который подали в коробочке из пергамента перевязаной шелковой лентой , крем-суп из каппучино был нежнейшим .  Муж заказывал мясо - остался очень доволен .  Неплохой выбор вин .  В общем после этого посещения Иль Палаццо стал любимым рестораном .  ",0
27321,"Что стоит сразу отметить:Найти вход в отель не так уж просто, потому что вам нужно обойти все здание вокруг, несмотря на то, что оно примыкает прямо к аэропорту (если только у вас не забронирован рейс). Кроме того, охранники на входе немного странные.Что привлекло мое внимание:Оперативная регистрация, просторный номер с современными удобствами. Еда, которую доставляют в номер - неплохая, но то, как ее подают не совсем соответствует уровню самого номера. Что касается качества, количества и выбора, завтрак для такого места - превосходный. Профессиональный доброжелательный персонал. Через 30 минут после регистрации в отеле мне позвонили в номер, проверить, все ли в порядке - такого со мной не случалось даже в отеле Четыре сезона. Мне практически предоставили бесплатный завтрак, потому что знали, что мне надо рано вставать и лететь через всю Атлантику. В следующий раз, когда будете в короткой командировке, избавьте себя от хлопот - остановитесь в этом отеле.",0
12216,"ергей Минский, FB: Очень жаль, честно говоря, что так все получилось. Но даже то, что хоть треть людей с разными взглядами осталась до самого конца - уже хорошо. Хороший урок избирателям - поменьше выбирать певцов, телеведущих и фотографов (а то  Единую Россию  за Кабаеву с Валуевым ругали - а сами...) побольше людей может и не таких известных, но настоящих активистов, рабочих лошадок  Очень хорошее впечатление осталось от этого заседания: все по делу, конкретно и вполне в коллегиальном духе. ВОт так бы с самого начала... Но мы знаем, кто виноват в том, что этого не произошло. Знаем мы это? Да или нет? (с)Опять же,  Не забудем, не простим (с)Вы уж меня простите за эти цитаты из  Единого Безальтернативного Лидера Оппозиции , но уж больно хочется иногда захватить оружие противника и это трофейное оружие обернуть против него самого:))Но вообще даже столкновение г-на Гельфанда с националистами (которое могло, в принципе, перерасти в страшный скандал и, вполне возможно, переросло бы, если бы рядом с г-ном Гельфандом оказались умелые разжигатели подобных конфликтов, не будем сейчас называть имен) прошло во вполне конструктивном духе. Как ни поразительно.ВОобще в зале заседаний царил дух коллегиальности и конструктивизма (в рабочем смысле, не в смысле архитектуры):)Не могу отказать себе в удовольствии помечтать: вот бы второй созыв КС работал в такой же атмосфере!  к могильщикам КС добавился Михаил Соколов, Радио Свободаhttp://www.svoboda.org/content/transcript/25143273",1
522,"убился ап стену говорят  в новостях инфа есть, не официальная вроде...  долгииии задавили....  заебали  мистика, продал  Красного Ленина  и помер - неспроста эта )  Все там будем  И даже говорят, самовыпилился.  О смерти предпринимателя сообщил на своей странице в Facebook зять Березовского Егор Шуппе. А ролс 27 года успел продать?  похуй  помер борис, да и хуй с ним.  срач сми, новые доки и харя= похороны борсучьи  главное ,чтобы не воскрес к понедельнику  Как-то не в его стиле... Я быстрее поверю, что он таким образом на дно ложится.    всем похуй  говорят, дакто ж теперь карликам на нервы действовать будет?  Оригинал взят у  в Так что там случилось с Вашей лодкой? B течение десяти дней весьма странным образом погибают два талантливых актёра, каждый из которых изобразил однажды образ Путина. 7 марта 2013 года был убит Андрей Панин, сыгравший в малоизвестном фильме  Поцелуй не для прессы  человека, похожего на Путина (высмеял в этой роли Путина, чем вызывал истерику у кадрового чекиста). 16 марта 2013 года странным образом погиб другой актёр: в бассейне на Бали утонул Владислав Мамышев. Ещё в марте 2010 года Владислав Мамышев-Монро подписал обращение российской оппозиции  Путин должен уйти , добавив от себя:   Хоть мой автопортрет в образе Путина и был на обложке журнала  Артхроника , и вообще хочется любить всех людей… Но именно из любви к миллионам людей я уверен, что их пора спасать от  неведающего что он творит  симулякра власти, случайно (а для нас всех — фатально) оказавшегося абсолютно не в том месте, и не в то время.",0
19477,"Книга отзывов и предложений от 05.07.2013 .  Частенько заходим в ваш ресторан .  Очень привлекает обстановка и вежливый персонал ( сегодня нас обслуживал непревзойдённый Азиз ) .  Отмечали день рождение , хорошо провели время .  Кухня очень вкусная .  Подали блюда достаточно быстро , так же выше упомянутый Азиз своевременно подливал игристые вина .  Все очень понравилось , спасибо !  Книга отзывов и предложений от 07.07.2013 Сегодня в первые посетили ваш ресторан .  Были приятно удивлены уютной атмосферой , вкусной едой , а главное быстрым и качественным обслуживанием .  Вернемся сюда еще раз .  Желаем вам процветания , дальнейшего развития .  Спасибо большое .  Семья Казаковых .  Книга отзывов и предложений от 07.07.2013 Великолепная кухня и Профессиональное обслуживание .  Вкус блюд надолго остается в памяти .  С большим удовольствием посещаем ваш ресторан каждый раз .  Успехов и удачи .  Александр и Елена Глинские .  ",2
5539,"Отель прекрасно расположен- недалеко от Московского вокзала и 2х шагах от Невского проспекта и станции метро Маяковская, Хочу отметить отличную звукоизоляцию, что важно для городского отеля.Дизайн, качественный ремонт и состояние номеров приятно удивили, и особенно - подогреваемые мраморные полы в ванной нашего номера (не знаю, во всех ли номерах).Обслуживание - отличное...Очень приятно остановитья в маленьком уютном,понастоящему петербургском отеле.Остановливалась с друзьями по случаю своего дня рождения...",1
45758,"Поликлиника
Одна из лучших ведомственных поликлиник, с прекрасным оборудованием и квалифицированными специалистами! Особенно хочу поблагодарить врачей и медсестер офтальмологического отделения!
",1
60256,"У них нет специалиста по УЗИ
У моего близкого человека было подозрение на внутреннее кровотечение. В воскресенье не было специалиста по УЗИ, пришлось делать пункцию.
",2
7407,"Прямо под Казанью. Забавно то, что территория (вместе с посёлком, что рядом) неким клином вбивается в черту города, но не является его частью. Жилой комплекс относительно недорогой, учитывая, что в Казани сейчас с ценами просто атас - на этапе котлована в черте города среднее однушки от 3 млн почти. ЖК находится на отдалении. Есть автобусный маршрут, но добираться всё равно очень долго. Без своего автомобиля неудобно.
",0
14110,"Укол перед операцией
Тихий ужас! Настя - 25 лет. Перед операцией интерн делает укол и одну отправляет в хирургию с 6 этажа на 5 этаж. В лифте Настя теряет сознание и разбивается. Итог: сотрясение мозга, раскрошенные зубы и внутренний и внешний шрам на подбородке. А женщина пришла в больницу решить свои женские проблемы. И зам. зав. отделением говорит, что девочка упала от голода, т. к. с утра не ела перед операцией! Люди! Что же делать с этой бесплатной медициной?!
",2
47787,"Выражаем благодарность
Огромная благодарность нашему замечательному доктору, врачу-педиатру, Попцовой Маргарите Валериановне, которая, несмотря на очень напряженный график работы, всегда с вниманием выслушает, даст рекомендации, утешит. Моя малышка не только перестала бояться докторов, но напротив, с радостью идет на прием к ""Малите Бальяновне"" Большое спасибо за ваш труд, внимательность и любовь к деткам!
",1
33927,"Останавливаюсь в этом отеле не первый раз, на это есть несколько причин, первое это фактически единственный отель на патриарших прудах, а это мой любимый район Москвы, это старое здание соответственно тут толстые нормальные стены и тихое окружение, в отличии от отелей-муравейников, вы не слышите соседей вообще, и благоприятный сон вам обеспечен, 10 минут до всех достопримечательностей, метро и т.д. но толпы при этом мимо не ходят, безукоризненная уборка, персонал, удобная кровать, халаты, тапочки, все что нужно есть. Из не совсем минусов но возможно кому важно: отель не новый соответственно и мебель и сантехника тоже не новые, но ни обшарпанности ни неполадок нет, просто стиль немного совдепный но меня лично это не напрягает вообще, а если учесть что номер выходит в 14 000 за двое суток, и это в самом центре Москвы то это идеальное сочетание цена качество, рекомендую )",0
25051,"Пользователь  сослался на вашу запись в записи  У Тимченко обыск? Он перестал быть неприкасаемым?   в контексте: [...] Оригинал взят у  в У Тимченко обыск? Он перестал быть неприкасаемым?  [...]  Дай-то бог, чтобы это не оказалось прелюдией к 18-му или 41-му.  Вотано оно,Михалыч.... (с)  Осужденного к 13-ти годам лишения свободы Владимира Квачкова готовятся этапировать в новую тюрьму строгого режима для политзаключенных, которую специально построили за Полярным кругом для новой волны недовольных властью граждан. Об этом сообщила Надежда Квачкова, жена осужденного полковника на съезде Союза российских офицеров 10 февраля 2013 года. Ну и кому,это может нравится?Вся политика Путина сейчас направлена на возврат в те времена, когда послушное большинство молчаливо смотрит развлекательные программы, и идет в строго заданном направлении. Знаете,что ещё пока у нас осталось? Это собственность,ну так пара законов от железняка и не будет у нас собственности,как нет уже свободы,а есть запах диктатуры.   Нравится всё больше Путин?Так то бывает...Мало ли кому и что нравится. Вон разного рода падальщики прям без ума от падали и что?  Расслабьтесь. Тимченко резко разбогател именно в период президенства Путина.",1
27025,"Гинеколог Лапкина Ирина Анатольевна
Удивлена отрицательным комментарием в сторону Ирины Анатольевны. Врач приятный, вежливый, относится с уважением, но не сюсюкает и вокруг пациента не прыгает на задних лапках. Относительно ""разводящего отношения"" приведу пример. Для очередного осмотра обратилась сначала в СМ-клинику, поскольку она рядом с домом. Там меня прогнали по всем возможным анализам, сгоняли к урологу (как выяснилось, зря), ""нашли"" кучу проблем, пробормотали что-то невразумительное насчет диагноза, запугали до икоты, содрали около 15 тысяч (!) и прописали дорогостоящее лечение. Забрала на руки результаты анализов, которые оказались нормальными и отправилась на другой конец города в ""Медквадрат"". Ирина Анатольевна осмотрела, сделала УЗИ и недоуменно сказала, что по её части проблем никаких нет, единственное - можно провести профилактический курс не самого дорогого лекарства. Выводы о компетентности и раскручивании на деньги делайте сами.
",1
9301,"Уважаемые Арина и Джузеппе !  В первую очередь хотелось бы поблагодарить Вас , в Вашем ресторане мы с друзьями бывали неоднократно и очень довольны : кухня великолепна , интерьер уютный , обслуживание вполне приятное .  Тем обиднее был инцидент , случившийся в субботу 26.07 .  Мы с подругами выбрали Ваш ресторан , чтобы отметить 5 лет выпуска из университета и забронировали столик на 9 человек на террасе на 9 вечера .  К сожалению , имени официантки мы не узнали , могу описать внешне - молодая девушка с черными волосами , были убраны в хвостики .  Девушка была явно не в настроении , принимая заказы , ни разу не улыбнулась и старалась не смотреть в глаза .  Но собственно нас это не касается и мы бы не обратили на это внимание , т. к. сами понимаете , были заняты общением и празднованием , тем более , что все блюда были поданы достаточно быстро и были , как всегда , на высоте .  Около полуночи мы попросили счет .  Часть из нас собиралась уходить , а некоторые планировали еще посидеть немного , поэтому мы решили рассчитаться , чтобы потом не запутаться , сколько кто должен .  Счет был примерно 8,5 тысяч .  Мы расплатились и планировали сделать новый заказ .  Но вернулась наша невеселая официантка , бросила счет на стол и сказала "" Себе на метро оставьте "" .  В папке со счетом лежала сдача , около 50 рублей .  Честно говоря , мы растерялись от такого хамства .  И сидеть дальше нам сразу же расхотелось .  Мы попросили другого официанта позвать нам администратора .  Ждать пришлось около получаса .  Администратор правда извинилась и была очень вежлива , но честно говоря поведением Вашей официантки праздничный вечер был испорчен .. Просто представьте - люди собрались на праздник , многие не видели друг друга несколько месяцев , некоторые приехали из Франции , Финляндии и Москвы .  И вдруг под конец вечера такая сцена .  Осадок остался очень неприятный .  Хотелось бы обратить внимание администрации ресторана на поведение персонала , дабы избежать подобных ситуаций в дальнейшем .  Напоминаем , что основное правило сферы обслуживания - клиент всегда прав п. с. Не хотелось бы больше видеть эту официантку в вашем ресторане , который нам бы хотелось еще неоднократно посетить .  ",0
5559,"Низкий поклон Сединкину Алексею Анатольевичу
Древний учёный Авиценна сказал о враче так: ""Врач должен обладать глазами сокола, руками девушки, мудростью змеи и сердцем льва"". Именно эти слова можно отнести к Сединкину Алексею Анатольевичу. Самоотверженность и бескорыстие, любовь к своим пациентам и стремление им помочь - неотъемлемые его качества. Сединкин Алексей Анатольевич несёт по всей жизни слова из клятвы Гиппократа: ""В какой бы дом я ни вошёл, я войду туда для пользы больного"". Алексей Анатольевич является человеком именно не побоюсь повторить ""ЧЕЛОВЕКОМ"" с большой буквы с высокими профессиональными и моральными качествами. Низкий ему поклон и большое человеческое спасибо.
28.05.2014 г. - 01.06.2014 г., палата 1106.
",1
13872,"2002 год, Путин  а кстати, чтой-то реакции креативной общественности на новости с Кипра не видать.. или я не туда смотрю или все воды в рот набрали?  Вот мне интересно, какую же сумму с налога получит бюджет Кипра?    Есть все основания полагать, что и дальше будут ужесточаться режимы использования средств, размещенных в оффшорных зонах. Я не говорю, что завтра они будут заморожены, но если решение подобного рода будет принято, прошу извинить за простоту выражения, замучаетесь пыль глотать, бегая по судам в попытках разморозить эти средства . Путин, 2002  Есть мнение, что когда Кипр попросил у Путяры 20 млрд. долларов (дополнительно) для кризиса в банковской системе, он (Путяра) в ответ потребовал данные по российским держателям средств в банковской системе Кипра (каков наглец!!!). И поскольку, честные интеллигентные банкиры не могут так делать (невидимая рука рынка запрещает), а денег у Путяры все равно было надо взять, то попросили уже только 10 млрд., а недостающую сумму взяли единовременным изъятием с банковских счетов, благо деньги там большей частью российские. Вот так Путяра и дотянулся до наших и ваших банковских счетов на Кипре. Не забудем не простим!    По данным  Российской газеты  российские держатели счетов на Кипре могут потерять до 3,5 млрд евро.Как пишет издание, в кипрской юрисдикции несколько тысяч российских компаний, которые держат на депозитах в банках 19 миллиардов евро.",0
47761,"Некомпетентный педиатр
Топина - вобще отвратительный врач! Это женщина преклонных лет, которая абсолютно не компетентна в вопросах лечения детей. В частных клиниках о ней уже наслышаны, т. к. многие перепуганные мамочки с несуществующими диагнозами от Топиной мчаться к платным врачам (я в их числе). Она поголовно всех отправляет на госпитализацию (и грудничков в возрасте 1 месяц, это с учетом того, что все знают, что в воздухе там летает пневмония, недавняя история с брюшным тифом, для грудничков это смерть), это называется перестраховаться, чтобы с нее не спрашивали почему не уследили за ребенком, почему не было обследования и прочее. Грамотные врачи (благо есть знакомые)только крутят у виска и диву даются, откуда же она берет подобные страшные диагнозы. Категорически не советую этого, так называемого, врача!
",2
6196,"Были в начале сентября .  Долго изучали интернет , чтобы найти подходящее место .  Остановились на Кончите Боните , отзывы неплохие , узнали есть ли шоу программа .  Есть .  Пришли , и то , что мы увидели сказать , что не соответствовало нашим ожиданиям , ничего не сказать .  Хотели сразу уйти , но решили посмотреть шоу программу .  Тесно настолько , что если за соседним столиком больше 2 человек , выйти из за своего стола сложно , накурено ( хотя сами курим ) , шумно .  А то , что позиционировалось как шоу было нечто !  Нас хватило максимум на 10 минут .  Кричащие одновременно в микрофон двое молодых людей , переодетых в женскую одежду а ля "" новые русские бабки "" ( с большой натяжкой ) , с непонятными конкурсами возле шеста .  Атмосфера напоминала деревенскую свадьбу на второй день гуляний .  Кухня неплохая , но столики очень маленькие , если их не сдвигать весь заказ не помещается .  Народ в основном пьет пиво и коктели .  Обслуживание среднее .  Администратор приветливый .  ",0
5441,"а про разруху, так это же классика - разруха не в клозетах, а в головах.   в в место, походу, привычной свалки мусора контейнер нельзя передвинуть?  повезло. чисто, спокойно. недавно заполнял опросник горпроектов о состоянии двора и понял, что даже пожаловаться особо не на что. кстати, что касается курения в подъезде - после принятия закона соседи курить перестали без напоминаний и претензий, что меня искренне удивило. думал, воевать придётся.  беспорядок как правило там, где никому нет до него дела. ни жителям, ни чиновникам.у нас во дворе чисто.",1
7949,"Несмотря на то, что отель классифицирует себя как 4*, он вполне достоин всех 5.Стильный дизайн, отличные номера с панорамным видом, вкусные и полезные завтраки - это лишь минимум того, что есть в этом отеле.Нужно поработать? Не проблема, на втором этаже отеля есть несколько компьютеров с выходом в интернет и высокоскоростной принтер.Wi-fi - необходимость в наши дни, в каждом номере без проблем.Шаговая доступность от метро (200 метров), до пляжа в принципе тоже можно прогуляться. А для шопоголиков вообще рай, ведь в одном здании с этим отелем находится большо shopping center.",1
17137,"Довольно часто коэффициент Джини приводится без описания группировки совокупности, то есть часто отсутствует информация о том, на какие же именно квантили поделена совокупность. Так, чем на большее количество групп поделена одна и та же совокупность (больше квантилей), тем выше для неё значение коэффициента Джини.2.    Коэффициент Джини не учитывает источник дохода, то есть для определенной локации (страны, региона и т. п.) коэффициент Джини может быть довольно низким, но при этом какая-то часть населения свой доход обеспечивает за счет непосильного труда, а другая — за счет собственности. Так в Швеции значение коэффициента Джини довольно низко, но при этом только 5 % домохозяйств владеют 77 % акций от общего количества акций, которым владеют все домохозяйства. Это обеспечивает этим 5 % доход, который остальное население получает за счет труда.3.    Метод кривой Лоренца и коэффициента Джини в деле исследования неравномерности распределения доходов среди населения имеет дело только с денежными доходами, меж тем некоторым работникам заработную плату выдают в виде продуктов питания и т. п.  также широкое распространение получает практика выдачи заработной платы работникам в виде опционов на покупку акций компании-работодателя (последнее соображение несущественно, опцион сам по себе не является доходом, это только возможность получить доход, продав, например, акции, а когда акции проданы и продавец получил деньги, этот доход уже учитывается при расчете коэффициента Джини).4.    Различия в методах сбора статистических данных для вычисления коэффициента Джини приводят к затруднениям (или даже невозможности) в сопоставлении полученных коэффициентов.  Сначала написал возражения по каждому пункту, потом все стер.В конце концов, я всего лишь привел Вам статистику и источник.  Да, спасибо.",1
54177,"Убрали весь мой кариес
Спасибо Юсупову. Очень качественно и хорошо подделал все мои зубы)), весь мой кариес. Спасибо тебе.
",1
6200,"Я не поняла , что тут на сайте за беспредел с недостоверностью информации ?  Откуда взялись фотографии интерьера Тан Жена на Гороховой ? там и приблизительно все не так ?  Хотела заказать там банкет , повелась на ваши фото и рекомендации , поехала туда и ......... Каково было мое разочарование !!! Там и приблизительно все не так !  Только зря проездила (((( Просьба исправить недостоверную информацию !  Хотя и так сайту уже доверия маловато ... (((((((((((  ",0
25679,"Хамское отношение
Г. Рязань, ул. Новосёлов, д. 21б. Отделение медицинского центра ситилаб. Будьте осторожны в этом отделении центра вам будут не очень рады, вы получите массу неготовых эмоций от администратора. Такое чувство, что их насильно заставляют там работать.
",2
